Year,Team,Logo
2023,Manchester City,logo/mc.png
2022,Manchester City,logo/mc.png
2021,Manchester City,logo/mc.png
2020,Liverpool FC,logo/lfc.png
2019,Manchester City,logo/mc.png
2018,Manchester City,logo/mc.png
2017,Chelsea FC,logo/cfc.png
2016,Leicester City,logo/lc.png
2015,Chelsea FC,logo/cfc.png
2014,Manchester City,logo/mc.png
2013,Manchester United,logo/mu.png
2012,Manchester City,logo/mc.png
2011,Manchester United,logo/mu.png
2010,Chelsea FC,logo/cfc.png
2009,Manchester United,logo/mu.png
2008,Manchester United,logo/mu.png
2007,Manchester United,logo/mu.png
2006,Chelsea FC,logo/cfc.png
2005,Chelsea FC,logo/cfc.png
2004,Arsenal FC,logo/afc.png
2003,Manchester United,logo/mu.png
2002,Arsenal FC,logo/afc.png
2001,Manchester United,logo/mu.png
2000,Manchester United,logo/mu.png
1999,Manchester United,logo/mu.png
1998,Arsenal FC,logo/afc.png
1997,Manchester United,logo/mu.png
1996,Manchester United,logo/mu.png
1995,Blackburn Rovers,logo/br.png
1994,Manchester United,logo/mu.png
1993,Manchester United,logo/mu.png
1992,Leeds United,logo/lu.png
1991,Arsenal FC,logo/afc.png
1990,Liverpool FC,logo/lfc.png
1989,Arsenal FC,logo/afc.png
1988,Liverpool FC,logo/lfc.png
1987,Everton FC,logo/efc.png
1986,Liverpool FC,logo/lfc.png
1985,Everton FC,logo/efc.png
1984,Liverpool FC,logo/lfc.png
1983,Liverpool FC,logo/lfc.png
1982,Liverpool FC,logo/lfc.png
1981,Aston Villa,logo/av.png
1980,Liverpool FC,logo/lfc.png
1979,Liverpool FC,logo/lfc.png
1978,Nottingham Forest,logo/nf.png
1977,Liverpool FC,logo/lfc.png
1976,Liverpool FC,logo/lfc.png
1975,Derby County,logo/dc.png
1974,Leeds United,logo/lu.png
1973,Liverpool FC,logo/lfc.png
1972,Derby County,logo/dc.png
1971,Arsenal FC,logo/afc.png
1970,Everton FC,logo/efc.png
1969,Leeds United,logo/lu.png
1968,Manchester City,logo/mc.png
1967,Manchester United,logo/mu.png
1966,Liverpool FC,logo/lfc.png
1965,Manchester United,logo/mu.png
1964,Liverpool FC,logo/lfc.png
1963,Everton FC,logo/efc.png
1962,Ipswich Town,logo/it.png
1961,Tottenham Hotspur,logo/th.png
1960,Burnley FC,logo/bfc.png
1959,Wolverhampton Wanderers,logo/ww.png
1958,Wolverhampton Wanderers,logo/ww.png
1957,Manchester United,logo/mu.png
1956,Manchester United,logo/mu.png
1955,Chelsea FC,logo/cfc.png
1954,Wolverhampton Wanderers,logo/ww.png
1953,Arsenal FC,logo/afc.png
1952,Manchester United,logo/mu.png
1951,Tottenham Hotspur,logo/th.png
1950,Portsmouth FC,logo/pfc.png
1949,Portsmouth FC,logo/pfc.png
1948,Arsenal FC,logo/afc.png
1947,Liverpool FC,logo/lfc.png
1939,Everton FC,logo/efc.png
1938,Arsenal FC,logo/afc.png
1937,Manchester City,logo/mc.png
1936,Sunderland AFC,logo/safc.png
1935,Arsenal FC,logo/afc.png
1934,Arsenal FC,logo/afc.png
1933,Arsenal FC,logo/afc.png
1932,Everton FC,logo/efc.png
1931,Arsenal FC,logo/afc.png
1930,Sheffield Wednesday,logo/sw.png
1929,Sheffield Wednesday,logo/sw.png
1928,Everton FC,logo/efc.png
1927,Newcastle United,logo/nu.png
1926,Huddersfield Town,logo/ht.png
1925,Huddersfield Town,logo/ht.png
1924,Huddersfield Town,logo/ht.png
1923,Liverpool FC,logo/lfc.png
1922,Liverpool FC,logo/lfc.png
1921,Burnley FC,logo/bfc.png
1920,West Bromwich Albion,logo/wba.png
1915,Everton FC,logo/efc.png
1914,Blackburn Rovers,logo/br.png
1913,Sunderland AFC,logo/safc.png
1912,Blackburn Rovers,logo/br.png
1911,Manchester United,logo/mu.png
1910,Aston Villa,logo/av.png
1909,Newcastle United,logo/nu.png
1908,Manchester United,logo/mu.png
1907,Newcastle United,logo/nu.png
1906,Liverpool FC,logo/lfc.png
1905,Newcastle United,logo/nu.png
1904,Sheffield Wednesday,logo/sw.png
1903,Sheffield Wednesday,logo/sw.png
1902,Sunderland AFC,logo/safc.png
1901,Liverpool FC,logo/lfc.png
1900,Aston Villa,logo/av.png
1899,Aston Villa,logo/av.png
1898,Sheffield United,logo/su.png
1897,Aston Villa,logo/av.png
1896,Aston Villa,logo/av.png
1895,Sunderland AFC,logo/safc.png
1894,Aston Villa,logo/av.png
1893,Sunderland AFC,logo/safc.png
1892,Sunderland AFC,logo/safc.png
1891,Everton FC,logo/efc.png
1890,Preston North End,logo/pne.png
1889,Preston North End,logo/pne.png
