Year,Team,Logo
2022,Los Angeles FC,logo/lafc.png
2021,New York City FC,logo/nycfc.png
2020,Columbus Crew,logo/cc.png
2019,Seattle Sounders,logo/ssfc.png
2018,Atlanta United FC,logo/aufc.png
2017,Toronto FC,logo/tfc.png
2016,Seattle Sounders,logo/ssfc.png
2015,Portland Timbers,logo/pt.png
2014,Los Angeles Galaxy,logo/lag.png
2013,Sporting Kansas City,logo/skc.png
2012,Los Angeles Galaxy,logo/lag.png
2011,Los Angeles Galaxy,logo/lag.png
2010,Colorado Rapids,logo/cr.png
2009,Real Salt Lake,logo/rslc.png
2008,Columbus Crew,logo/cc.png
2007,Houston Dynamo,logo/hdfc.png
2006,Houston Dynamo,logo/hdfc.png
2005,Los Angeles Galaxy,logo/lag.png
2004,D.C. United,logo/dcu.png
2003,San Jose Earthquakes,logo/sje.png
2002,Los Angeles Galaxy,logo/lag.png
2001,San Jose Earthquakes,logo/sje.png
2000,Kansas City Wizards,logo/skc.png
1999,D.C. United,logo/dcu.png
1998,Chicago Fire,logo/cffc.png
1997,D.C. United,logo/dcu.png
1996,D.C. United,logo/dcu.png
